Name,Price,Overview,Main Image,Thumb Image,Gallery Images
Platform,$775,Spacious platform area perfect for creative work and storage,/images/Barn-Door-Slider-1-2025-p-1080.jpg,/images/Barn-Door-Slider-1-2025-p-500.jpg,"/images/Barn-Door-Slider-1-2025-p-1080.jpg,/images/Barn-Door-Slider-1-2025-p-800.jpg"
PB-A Ground Level Shop Studio,$1335/mo,Ground level shop studio with excellent natural light and accessibility,/images/All-smiles---almost-p-1080.jpg,/images/All-smiles---almost-p-500.jpg,"/images/All-smiles---almost-p-1080.jpg,/images/All-smiles---almost-p-800.jpg"
"(#112) First Floor Office",$485,Professional first floor office space ideal for small businesses,/images/023-p-1080.jpg,/images/023-p-500.jpg,"/images/023-p-1080.jpg,/images/023-p-800.jpg"
